ward,district,city
Xã Nhị Long Phú,Huyện Càng Long,Tỉnh Trà Vinh
Xã Nhị Long,Huyện Càng Long,Tỉnh Trà Vinh
Xã Mỹ Cẩm,Huyện Càng Long,Tỉnh Trà Vinh
Xã Đức Mỹ,Huyện Càng Long,Tỉnh Trà Vinh
Xã Phương Thạnh,Huyện Càng Long,Tỉnh Trà Vinh
Xã Đại Phúc,Huyện Càng Long,Tỉnh Trà Vinh
Xã Thạnh Phú,Huyện Cầu Kè,Tỉnh Trà Vinh
Thị trấn Cầu Kè,Huyện Cầu Kè,Tỉnh Trà Vinh
Xã An Phú Tân,Huyện Cầu Kè,Tỉnh Trà Vinh
Xã Phong Thạnh,Huyện Cầu Kè,Tỉnh Trà Vinh
Xã Phong Phú,Huyện Cầu Kè,Tỉnh Trà Vinh
Xã Châu Điền,Huyện Cầu Kè,Tỉnh Trà Vinh
Thị trấn Mỹ Long,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Kim Hòa,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Thạnh Hòa Sơn,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Mỹ Hòa,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Trường Thọ,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Nhị Trường,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Mỹ Long Bắc,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Hiệp Hòa,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Hiệp Mỹ Đông,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Mỹ Long Nam,Huyện Cầu Ngang,Tỉnh Trà Vinh
Xã Long Khánh,Huyện Duyên Hải,Tỉnh Trà Vinh
Xã Đôn Xuân,Huyện Duyên Hải,Tỉnh Trà Vinh
Xã Long Vĩnh,Huyện Duyên Hải,Tỉnh Trà Vinh
Xã Đôn Châu,Huyện Duyên Hải,Tỉnh Trà Vinh
Thị trấn Long Thành,Huyện Duyên Hải,Tỉnh Trà Vinh
Xã Ngũ Lạc,Huyện Duyên Hải,Tỉnh Trà Vinh
Xã Đông Hải,Huyện Duyên Hải,Tỉnh Trà Vinh
Xã Hiếu Tử,Huyện Tiểu Cần,Tỉnh Trà Vinh
Xã Hùng Hòa,Huyện Tiểu Cần,Tỉnh Trà Vinh
Xã Hiếu Trung,Huyện Tiểu Cần,Tỉnh Trà Vinh
Thị trấn Tiểu Cần,Huyện Tiểu Cần,Tỉnh Trà Vinh
Xã Phú Cần,Huyện Tiểu Cần,Tỉnh Trà Vinh
Xã Tân Hùng,Huyện Tiểu Cần,Tỉnh Trà Vinh
Xã Long Thới,Huyện Tiểu Cần,Tỉnh Trà Vinh
Xã Định An,Huyện Trà Cú,Tỉnh Trà Vinh
Xã Kim Sơn,Huyện Trà Cú,Tỉnh Trà Vinh
Xã Hàm Tân,Huyện Trà Cú,Tỉnh Trà Vinh
Xã Long Hiệp,Huyện Trà Cú,Tỉnh Trà Vinh
Xã Đại An,Huyện Trà Cú,Tỉnh Trà Vinh
Phường 6,Thành phố Trà Vinh,Tỉnh Trà Vinh
Phường 5,Thành phố Trà Vinh,Tỉnh Trà Vinh
Phường 1,Thành phố Trà Vinh,Tỉnh Trà Vinh
Xã Long Đức,Thành phố Trà Vinh,Tỉnh Trà Vinh
Phường 8,Thành phố Trà Vinh,Tỉnh Trà Vinh
Phường 2,Thành phố Trà Vinh,Tỉnh Trà Vinh
Phường 3,Thành phố Trà Vinh,Tỉnh Trà Vinh
Phường 7,Thành phố Trà Vinh,Tỉnh Trà Vinh
Phường 4,Thành phố Trà Vinh,Tỉnh Trà Vinh
Xã Hiệp Thạnh,Thị xã Duyên Hải,Tỉnh Trà Vinh
Xã Long Toàn,Thị xã Duyên Hải,Tỉnh Trà Vinh
Xã Long Hữu,Thị xã Duyên Hải,Tỉnh Trà Vinh
Phường 1,Thị xã Duyên Hải,Tỉnh Trà Vinh
Xã Trường Long Hòa,Thị xã Duyên Hải,Tỉnh Trà Vinh
Xã Dân Thành,Thị xã Duyên Hải,Tỉnh Trà Vinh
Xã Hà Lang,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Kim Bình,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Trung Hòa,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Trung Hà,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Hòa Phú,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Tân Thịnh,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Linh Phú,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Xuân Quang,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Phú Bình,Huyện Chiêm Hóa,Tỉnh Tuyên Quang
Xã Bình Xa,Huyện Hàm Yên,Tỉnh Tuyên Quang
Xã Hùng Đức,Huyện Hàm Yên,Tỉnh Tuyên Quang
Thị trấn Tân Yên,Huyện Hàm Yên,Tỉnh Tuyên Quang
Xã Thái Hòa,Huyện Hàm Yên,Tỉnh Tuyên Quang
Xã Nhân Mục,Huyện Hàm Yên,Tỉnh Tuyên Quang
Xã Thượng Lâm,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Hồng Quang,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Phúc Yên,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Bình An,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Minh Quang,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Khuôn Hà,Huyện Lâm Bình,Tỉnh Tuyên Quang
Thị trấn Lăng Can,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Thổ Bình,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Xuân Lập,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Phúc Sơn,Huyện Lâm Bình,Tỉnh Tuyên Quang
Xã Khau Tinh,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Thượng Nông,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Côn Lôn,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Thanh Tương,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Yên Hoa,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Năng Khả,Huyện Na Hang,Tỉnh Tuyên Quang
Thị trấn Na Hang,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Thượng Giáp,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Hồng Thái,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Đà Vị,Huyện Na Hang,Tỉnh Tuyên Quang
Xã Lương Thiện,Huyện Sơn Dương,Tỉnh Tuyên Quang
Xã Tân Trào,Huyện Sơn Dương,Tỉnh Tuyên Quang
Xã Thiện Kế,Huyện Sơn Dương,Tỉnh Tuyên Quang
Xã Tam Đa,Huyện Sơn Dương,Tỉnh Tuyên Quang
Xã Văn Phú,Huyện Sơn Dương,Tỉnh Tuyên Quang
Xã Đông Thọ,Huyện Sơn Dương,Tỉnh Tuyên Quang
Xã Trường Sinh,Huyện Sơn Dương,Tỉnh Tuyên Quang
Xã Mỹ Bằng,Huyện Yên Sơn,Tỉnh Tuyên Quang
Xã Chân Sơn,Huyện Yên Sơn,Tỉnh Tuyên Quang
Xã Lang Quán,Huyện Yên Sơn,Tỉnh Tuyên Quang
Xã Tứ Quận,Huyện Yên Sơn,Tỉnh Tuyên Quang
Xã Tân Long,Huyện Yên Sơn,Tỉnh Tuyên Quang
Xã Lực Hành,Huyện Yên Sơn,Tỉnh Tuyên Quang
Xã Tân Tiến,Huyện Yên Sơn,Tỉnh Tuyên Quang
Xã Nhữ Khê,Huyện Yên Sơn,Tỉnh Tuyên Quang
Xã An Khang,Thành phố Tuyên Quang,Tỉnh Tuyên Quang
Phường Tân Hà,Thành phố Tuyên Quang,Tỉnh Tuyên Quang
Phường Tân Quang,Thành phố Tuyên Quang,Tỉnh Tuyên Quang
Phường Mỹ Lâm,Thành phố Tuyên Quang,Tỉnh Tuyên Quang
Xã Thái Long,Thành phố Tuyên Quang,Tỉnh Tuyên Quang
Phường Nông Tiến,Thành phố Tuyên Quang,Tỉnh Tuyên Quang
Phường Minh Xuân,Thành phố Tuyên Quang,Tỉnh Tuyên Quang
Xã Long Phước,Huyện Bến Cầu,Tỉnh Tây Ninh
Xã Tiên Thuận,Huyện Bến Cầu,Tỉnh Tây Ninh
Xã Lợi Thuận,Huyện Bến Cầu,Tỉnh Tây Ninh
Xã Long Khánh,Huyện Bến Cầu,Tỉnh Tây Ninh
Xã Long Giang,Huyện Bến Cầu,Tỉnh Tây Ninh
Xã An Thạnh,Huyện Bến Cầu,Tỉnh Tây Ninh
Thị trấn Bến Cầu,Huyện Bến Cầu,Tỉnh Tây Ninh
Xã Long Chữ,Huyện Bến Cầu,Tỉnh Tây Ninh
Xã Long Thuận,Huyện Bến Cầu,Tỉnh Tây Ninh
Xã Thái Bình,Huyện Châu Thành,Tỉnh Tây Ninh
Xã An Bình,Huyện Châu Thành,Tỉnh Tây Ninh
Xã Hòa Thạnh,Huyện Châu Thành,Tỉnh Tây Ninh
Xã Phước Vinh,Huyện Châu Thành,Tỉnh Tây Ninh
Xã Long Vĩnh,Huyện Châu Thành,Tỉnh Tây Ninh
Xã Hòa Hội,Huyện Châu Thành,Tỉnh Tây Ninh
Xã Trí Bình,Huyện Châu Thành,Tỉnh Tây Ninh
Xã Biên Giới,Huyện Châu Thành,Tỉnh Tây Ninh
Thị trấn Dương Minh Châu,Huyện Dương Minh Châu,Tỉnh Tây Ninh
Xã Chà Là,Huyện Dương Minh Châu,Tỉnh Tây Ninh
Xã Suối Đá,Huyện Dương Minh Châu,Tỉnh Tây Ninh
Xã Phan,Huyện Dương Minh Châu,Tỉnh Tây Ninh
Xã Phước Minh,Huyện Dương Minh Châu,Tỉnh Tây Ninh
Xã Cầu Khởi,Huyện Dương Minh Châu,Tỉnh Tây Ninh
Xã Lộc Ninh,Huyện Dương Minh Châu,Tỉnh Tây Ninh
Xã Phước Ninh,Huyện Dương Minh Châu,Tỉnh Tây Ninh
Thị trấn Gò Dầu,Huyện Gò Dầu,Tỉnh Tây Ninh
Xã Bàu Đồn,Huyện Gò Dầu,Tỉnh Tây Ninh
Xã Cẩm Giang,Huyện Gò Dầu,Tỉnh Tây Ninh
Xã Thanh Phước,Huyện Gò Dầu,Tỉnh Tây Ninh
Xã Phước Thạnh,Huyện Gò Dầu,Tỉnh Tây Ninh
Xã Hiệp Thạnh,Huyện Gò Dầu,Tỉnh Tây Ninh
Xã Phước Trạch,Huyện Gò Dầu,Tỉnh Tây Ninh
Xã Hòa Hiệp,Huyện Tân Biên,Tỉnh Tây Ninh
Thị trấn Tân Biên,Huyện Tân Biên,Tỉnh Tây Ninh
Xã Tân Lập,Huyện Tân Biên,Tỉnh Tây Ninh
Xã Trà Vong,Huyện Tân Biên,Tỉnh Tây Ninh
Xã Mỏ Công,Huyện Tân Biên,Tỉnh Tây Ninh
Xã Tân Phú,Huyện Tân Châu,Tỉnh Tây Ninh
Thị trấn Tân Châu,Huyện Tân Châu,Tỉnh Tây Ninh
Xã Tân Hiệp,Huyện Tân Châu,Tỉnh Tây Ninh
Xã Tân Hội,Huyện Tân Châu,Tỉnh Tây Ninh
Xã Tân Đông,Huyện Tân Châu,Tỉnh Tây Ninh
Xã Suối Dây,Huyện Tân Châu,Tỉnh Tây Ninh
Xã Tân Bình,Thành phố Tây Ninh,Tỉnh Tây Ninh
Phường Ninh Sơn,Thành phố Tây Ninh,Tỉnh Tây Ninh
Phường 3,Thành phố Tây Ninh,Tỉnh Tây Ninh
Phường Hiệp Ninh,Thành phố Tây Ninh,Tỉnh Tây Ninh
Phường Ninh Thạnh,Thành phố Tây Ninh,Tỉnh Tây Ninh
Phường 2,Thành phố Tây Ninh,Tỉnh Tây Ninh
Xã Bình Minh,Thành phố Tây Ninh,Tỉnh Tây Ninh
Phường Long Thành Bắc,Thị xã Hòa Thành,Tỉnh Tây Ninh
Phường Hiệp Tân,Thị xã Hòa Thành,Tỉnh Tây Ninh
Xã Long Thành Nam,Thị xã Hòa Thành,Tỉnh Tây Ninh
Phường Long Thành Trung,Thị xã Hòa Thành,Tỉnh Tây Ninh
Xã Trường Hòa,Thị xã Hòa Thành,Tỉnh Tây Ninh
Xã Trường Tây,Thị xã Hòa Thành,Tỉnh Tây Ninh
Xã Hưng Thuận,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Xã Phước Chỉ,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Phường Gia Bình,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Phường Lộc Hưng,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Phường An Tịnh,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Phường Trảng Bàng,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Phường An Hòa,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Phường Gia Lộc,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Xã Đôn Thuận,Thị xã Trảng Bàng,Tỉnh Tây Ninh
Xã Trung Thành Tây,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
Xã Hiếu Nhơn,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
Thị trấn Vũng Liêm,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
Xã Trung Nghĩa,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
Xã Trung Thành,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
Xã Trung Hiếu,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
Xã Hiếu Thành,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
Xã Tân An Luông,Huyện  Vũng Liêm,Tỉnh Vĩnh Long
Xã Tân Lược,Huyện Bình Tân,Tỉnh Vĩnh Long
Xã Tân Thành,Huyện Bình Tân,Tỉnh Vĩnh Long
Xã Nguyễn Văn Thảnh,Huyện Bình Tân,Tỉnh Vĩnh Long
Xã Thành Trung,Huyện Bình Tân,Tỉnh Vĩnh Long
Thị trấn Tân Quới,Huyện Bình Tân,Tỉnh Vĩnh Long
Xã Phú Quới,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Lộc Hòa,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Phước Hậu,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Thạnh Quới,Huyện Long Hồ,Tỉnh Vĩnh Long
Thị trấn Long Hồ,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Long Phước,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Hòa Ninh,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Tân Hạnh,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Phú Đức,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Long An,Huyện Long Hồ,Tỉnh Vĩnh Long
Xã Hòa Tịnh,Huyện Mang Thít,Tỉnh Vĩnh Long
Xã Tân An Hội,Huyện Mang Thít,Tỉnh Vĩnh Long
Xã Bình Phước,Huyện Mang Thít,Tỉnh Vĩnh Long
Xã Tân Long Hội,Huyện Mang Thít,Tỉnh Vĩnh Long
Xã Nhơn Phú,Huyện Mang Thít,Tỉnh Vĩnh Long
Xã Loan Mỹ,Huyện Tam Bình,Tỉnh Vĩnh Long
Xã Hòa Hiệp,Huyện Tam Bình,Tỉnh Vĩnh Long
Xã Hoà Lộc,Huyện Tam Bình,Tỉnh Vĩnh Long
Xã Phú Thịnh,Huyện Tam Bình,Tỉnh Vĩnh Long
Xã Phú Lộc,Huyện Tam Bình,Tỉnh Vĩnh Long
Xã Ngãi Tứ,Huyện Tam Bình,Tỉnh Vĩnh Long
Xã Phú Thành,Huyện Trà Ôn,Tỉnh Vĩnh Long
Thị trấn Trà Ôn,Huyện Trà Ôn,Tỉnh Vĩnh Long
Xã Xuân Hiệp,Huyện Trà Ôn,Tỉnh Vĩnh Long
Xã Hòa Bình,Huyện Trà Ôn,Tỉnh Vĩnh Long
Xã Tích Thiện,Huyện Trà Ôn,Tỉnh Vĩnh Long
Xã Thới Hòa,Huyện Trà Ôn,Tỉnh Vĩnh Long
Xã Vĩnh Xuân,Huyện Trà Ôn,Tỉnh Vĩnh Long
Phường 5,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường Tân Hòa,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường 8,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường 3,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường Tân Ngãi,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường 2,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường Trường An,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường 4,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường Tân Hội,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường 1,Thành phố Vĩnh Long,Tỉnh Vĩnh Long
Phường Đông Thuận,Thị xã Bình Minh,Tỉnh Vĩnh Long
Xã Mỹ Hòa,Thị xã Bình Minh,Tỉnh Vĩnh Long
Xã Đông Bình,Thị xã Bình Minh,Tỉnh Vĩnh Long
Xã Thuận An,Thị xã Bình Minh,Tỉnh Vĩnh Long
Xã Đông Thành,Thị xã Bình Minh,Tỉnh Vĩnh Long
Phường Thành Phước,Thị xã Bình Minh,Tỉnh Vĩnh Long
Phường Cái Vồn,Thị xã Bình Minh,Tỉnh Vĩnh Long
Xã Đông Thạnh,Thị xã Bình Minh,Tỉnh Vĩnh Long
Thị trấn Đạo Đức,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Xã Trung Mỹ,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Thị trấn Bá Hiến,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Xã Phú Xuân,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Xã Hương Sơn,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Thị trấn Thanh Lãng,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Xã Thiện Kế,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Thị trấn Hương Canh,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Xã Tam Hợp,Huyện Bình Xuyên,Tỉnh Vĩnh Phúc
Xã Ngọc Mỹ,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Xã Vân Trục,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Xã Đình Chu,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Xã Triệu Đề,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Xã Hợp Lý,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Xã Tử Du,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Xã Sơn Đông,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Xã Liên Hòa,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Thị trấn Hoa Sơn,Huyện Lập Thạch,Tỉnh Vĩnh Phúc
Xã Yên Thạch,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Hải Lựu,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Thị trấn Tam Sơn,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Cao Phong,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Đồng Thịnh,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Nhân Đạo,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Nhạo Sơn,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Bạch Lưu,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Đức Bác,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Tân Lập,Huyện Sông Lô,Tỉnh Vĩnh Phúc
Xã Hoàng Lâu,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Xã Đạo Tú,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Xã Vân Hội,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Xã Hướng Đạo,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Xã Hợp Thịnh,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Xã Duy Phiên,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Xã An Hòa,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Xã Hoàng Đan,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Xã Thanh Vân,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Thị trấn Kim Long,Huyện Tam Dương,Tỉnh Vĩnh Phúc
Thị trấn Hợp Châu,Huyện Tam Đảo,Tỉnh Vĩnh Phúc
Xã Bồ Lý,Huyện Tam Đảo,Tỉnh Vĩnh Phúc
Xã Tam Quan,Huyện Tam Đảo,Tỉnh Vĩnh Phúc
Xã Hồ Sơn,Huyện Tam Đảo,Tỉnh Vĩnh Phúc
Xã Đạo Trù,Huyện Tam Đảo,Tỉnh Vĩnh Phúc
Xã Minh Quang,Huyện Tam Đảo,Tỉnh Vĩnh Phúc
Thị trấn Tam Đảo,Huyện Tam Đảo,Tỉnh Vĩnh Phúc
Xã Tân Phú,Huyện Vĩnh Tường,Tỉnh Vĩnh Phúc
Xã Cao Đại,Huyện Vĩnh Tường,Tỉnh Vĩnh Phúc
Xã Vân Xuân,Huyện Vĩnh Tường,Tỉnh Vĩnh Phúc
Xã Vĩnh Ninh,Huyện Vĩnh Tường,Tỉnh Vĩnh Phúc
Xã Yên Lập,Huyện Vĩnh Tường,Tỉnh Vĩnh Phúc
Xã Kim Xá,Huyện Vĩnh Tường,Tỉnh Vĩnh Phúc
Xã Việt Xuân,Huyện Vĩnh Tường,Tỉnh Vĩnh Phúc
Thị trấn Tam Hồng,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Nguyệt Đức,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Hồng Phương,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Yên Phương,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Trung Hà,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Đồng Cương,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Trung Kiên,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Hồng Châu,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Tề Lỗ,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Xã Liên Châu,Huyện Yên Lạc,Tỉnh Vĩnh Phúc
Phường Hùng Vương,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Phường Tiền Châu,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Phường Nam Viêm,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Xã Cao Minh,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Phường Trưng Trắc,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Phường Xuân Hoà,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Xã Ngọc Thanh,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Phường Trưng Nhị,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Phường Phúc Thắng,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Phường Đồng Xuân,Thành phố Phúc Yên,Tỉnh Vĩnh Phúc
Phường Đồng Tâm,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc
Phường Liên Bảo,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc
Xã Thanh Trù,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc
Phường Ngô Quyền,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc
Phường Tích Sơn,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc
Phường Đống Đa,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc
Phường Hội Hợp,Thành phố Vĩnh Yên,Tỉnh Vĩnh Phúc
Xã Lâm Thượng,Huyện Lục Yên,Tỉnh Yên Bái
Xã Vĩnh Lạc,Huyện Lục Yên,Tỉnh Yên Bái
Xã Phúc Lợi,Huyện Lục Yên,Tỉnh Yên Bái
Xã Liễu Đô,Huyện Lục Yên,Tỉnh Yên Bái
Xã Yên Thắng,Huyện Lục Yên,Tỉnh Yên Bái
Xã Mường Lai,Huyện Lục Yên,Tỉnh Yên Bái
Xã Khao Mang,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Dế Su Phình,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Nậm Có,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Chế Cu Nha,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Lao Chải,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Cao Phạ,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Púng Luông,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Chế Tạo,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Hồ Bốn,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã La Pán Tẩn,Huyện Mù Căng Chải,Tỉnh Yên Bái
Xã Làng Nhì,Huyện Trạm Tấu,Tỉnh Yên Bái
Thị trấn Trạm Tấu,Huyện Trạm Tấu,Tỉnh Yên Bái
Xã Túc Đán,Huyện Trạm Tấu,Tỉnh Yên Bái
Xã Bản Mù,Huyện Trạm Tấu,Tỉnh Yên Bái
Xã Phình Hồ,Huyện Trạm Tấu,Tỉnh Yên Bái
Thị trấn Cổ Phúc,Huyện Trấn Yên,Tỉnh Yên Bái
Xã Việt Thành,Huyện Trấn Yên,Tỉnh Yên Bái
Xã Quy Mông,Huyện Trấn Yên,Tỉnh Yên Bái
Xã Nga Quán,Huyện Trấn Yên,Tỉnh Yên Bái
Xã Lương Thịnh,Huyện Trấn Yên,Tỉnh Yên Bái
Xã Y Can,Huyện Trấn Yên,Tỉnh Yên Bái
Xã Việt Cường,Huyện Trấn Yên,Tỉnh Yên Bái
Xã Tân Thịnh,Huyện Văn Chấn,Tỉnh Yên Bái
Xã Gia Hội,Huyện Văn Chấn,Tỉnh Yên Bái
Xã Thượng Bằng La,Huyện Văn Chấn,Tỉnh Yên Bái
Xã Nghĩa Sơn,Huyện Văn Chấn,Tỉnh Yên Bái
Xã Nghĩa Tâm,Huyện Văn Chấn,Tỉnh Yên Bái
Thị trấn Sơn Thịnh,Huyện Văn Chấn,Tỉnh Yên Bái
Xã Nậm Búng,Huyện Văn Chấn,Tỉnh Yên Bái
Xã Tú Lệ,Huyện Văn Chấn,Tỉnh Yên Bái
Thị trấn NT Liên Sơn,Huyện Văn Chấn,Tỉnh Yên Bái
Thị trấn NT Trần Phú,Huyện Văn Chấn,Tỉnh Yên Bái
Xã Đại Phác,Huyện Văn Yên,Tỉnh Yên Bái
Xã Đại Sơn,Huyện Văn Yên,Tỉnh Yên Bái
Xã Quang Minh,Huyện Văn Yên,Tỉnh Yên Bái
Xã Lâm Giang,Huyện Văn Yên,Tỉnh Yên Bái
Xã Yên Thái,Huyện Văn Yên,Tỉnh Yên Bái
Xã An Thịnh,Huyện Văn Yên,Tỉnh Yên Bái
Xã Nà Hẩu,Huyện Văn Yên,Tỉnh Yên Bái
Xã Mỹ Gia,Huyện Yên Bình,Tỉnh Yên Bái
Xã Thịnh Hưng,Huyện Yên Bình,Tỉnh Yên Bái
Thị trấn Yên Bình,Huyện Yên Bình,Tỉnh Yên Bái
Xã Đại Minh,Huyện Yên Bình,Tỉnh Yên Bái
Xã Hán Đà,Huyện Yên Bình,Tỉnh Yên Bái
